지역명,일시,관외 이동량
경상남도 통영시,3,268385
경상남도 하동군,3,227357
경상남도 함안군,3,248977
경상남도 함양군,3,68535
경상남도 합천군,3,105321
제주특별자치도 서귀포시,3,797452
제주특별자치도 제주시,3,1063137
부산광역시 강서구,4,924458
부산광역시 금정구,4,670007
부산광역시 기장군,4,715211
부산광역시 남구,4,647316
부산광역시 동구,4,519866
부산광역시 동래구,4,835712
부산광역시 부산광역시진구,4,1422672
부산광역시 북구,4,403454
부산광역시 사상구,4,720189
부산광역시 사하구,4,482030
부산광역시 서구,4,409867
부산광역시 수영구,4,676715
부산광역시 연제구,4,764610
부산광역시 영도구,4,252029
부산광역시 중구,4,595714
부산광역시 해운대구광역시,4,1144037
대구광역시 남구,4,540571
대구광역시 달서구,4,1239045
대구광역시 달성군,4,675895
대구광역시 동구,4,1022718
대구광역시 북구,4,1016808
대구광역시 서구,4,529107
대구광역시 수성구,4,1049498
대구광역시 군위군,4,0
대구광역시 중구,4,1180214
광주광역시 광산구,4,976082
광주광역시 남구,4,479307
광주광역시 동구,4,719916
광주광역시 북구,4,942450
광주광역시 서구,4,1054313
대전광역시 대덕구,4,512892
대전광역시 동구,4,685816
대전광역시 서구,4,1133013
대전광역시 유성구,4,1158593
대전광역시 중구,4,761166
울산광역시 남구,4,1057863
울산광역시 동구,4,288869
울산광역시 북구,4,602886
울산광역시 울주군,4,713744
울산광역시 중구,4,425107
세종특별자치시,4,569569
강원특별자치도 강릉시,4,468194
강원특별자치도 고성군,4,155342
강원특별자치도 동해시,4,148486
강원특별자치도 삼척시,4,179828
강원특별자치도 속초시,4,342350
강원특별자치도 양구군,4,35748
강원특별자치도 양양군,4,183627
강원특별자치도 영월군,4,105422
강원특별자치도 원주시,4,446991
강원특별자치도 인제군,4,90450
강원특별자치도 정선군,4,127464
강원특별자치도 철원군,4,99498
강원특별자치도 춘천시,4,443901
강원특별자치도 태백시,4,59738
강원특별자치도 평창군,4,152943
강원특별자치도 홍천군,4,221436
강원특별자치도 화천군,4,55852
강원특별자치도 횡성군,4,157732
충청북도 괴산군,4,144387
충청북도 단양군,4,128574
충청북도 보은군,4,95863
충청북도 영동군,4,87778
충청북도 옥천군,4,165447
충청북도 음성군,4,304646
충청북도 제천시,4,262282
충청북도 증평군,4,89787
충청북도 진천군,4,254588
충청북도 청주시 상당구,4,527827
충청북도 청주시 서원구,4,545971
충청북도 청주시 청원구,4,541865
충청북도 청주시 흥덕구,4,858408
충청북도 충주시,4,321733
충청남도 계룡시,4,85059
충청남도 공주시,4,396848
충청남도 금산군,4,182274
충청남도 논산시,4,259945
충청남도 당진시,4,371310
충청남도 보령시,4,248632
충청남도 부여군,4,144535
충청남도 서산시,4,301294
충청남도 서천군,4,148842
충청남도 아산시,4,777756
충청남도 예산군,4,252122
충청남도 천안시 동남구,4,786123
충청남도 천안시 서북구,4,931257
충청남도 청양군,4,82251
충청남도 태안군,4,283053
충청남도 홍성군,4,183536
전북특별자치도 고창군,4,156670
전북특별자치도 군산시,4,392790
전북특별자치도 김제시,4,228719
전북특별자치도 남원시,4,161188
전북특별자치도 무주군,4,68213
전북특별자치도 부안군,4,157028
전북특별자치도 순창군,4,71835
전북특별자치도 완주군,4,437993
전북특별자치도 익산시,4,394775
전북특별자치도 임실군,4,110921
전북특별자치도 장수군,4,41193
전북특별자치도 전주시 덕진구,4,807709
전북특별자치도 전주시 완산구,4,770894
전북특별자치도 정읍시,4,179730
전북특별자치도 진안군,4,93439
전라남도 강진군,4,106191
전라남도 고흥군,4,108429
전라남도 곡성군,4,96329
전라남도 광양시,4,280197
전라남도 구례군,4,96585
전라남도 나주시,4,309249
전라남도 담양군,4,249001
전라남도 목포시,4,436589
전라남도 무안군,4,296352
전라남도 보성군,4,127395
전라남도 순천시,4,572832
전라남도 신안군,4,127010
전라남도 여수시,4,524940
전라남도 영광군,4,120385
전라남도 영암군,4,196918
전라남도 완도군,4,82573
전라남도 장성군,4,157656
전라남도 장흥군,4,70991
전라남도 진도군,4,73367
전라남도 함평군,4,114995
전라남도 해남군,4,128104
전라남도 화순군,4,203795
경상북도 경산시,4,654847
경상북도 경주시,4,873810
경상북도 고령군,4,123985
경상북도 구미시,4,535892
경상북도 김천시,4,249704
경상북도 문경시,4,173790
경상북도 봉화군,4,68675
경상북도 상주시,4,191114
경상북도 성주군,4,160437
경상북도 안동시,4,256773
경상북도 영덕군,4,119920
경상북도 영양군,4,24259
경상북도 영주시,4,132615
경상북도 영천시,4,245818
경상북도 예천군,4,113390
경상북도 울릉군,4,39929
경상북도 울진군,4,124975
경상북도 의성군,4,102773
경상북도 청도군,4,187335
경상북도 청송군,4,60622
경상북도 칠곡군,4,414416
경상북도 포항시 남구,4,651906
경상북도 포항시 북구,4,608620
경상남도 거제시,4,336870
경상남도 거창군,4,89557
경상북도 군위군,4,118237
경상남도 고성군,4,165236
경상남도 김해시,4,859658
경상남도 남해군,4,150188
경상남도 밀양시,4,246079
경상남도 사천시,4,299712
경상남도 산청군,4,148486
경상남도 양산시,4,637595
경상남도 의령군,4,82410
경상남도 진주시,4,410319
경상남도 창녕군,4,209049
경상남도 창원시 마산합포구,4,494740
경상남도 창원시 마산회원구,4,478570
경상남도 창원시 성산구,4,813038
경상남도 창원시 의창구,4,799510
경상남도 창원시 진해구,4,342913
경상남도 통영시,4,261439
경상남도 하동군,4,141565
경상남도 함안군,4,256483
경상남도 함양군,4,76735
경상남도 합천군,4,118357
제주특별자치도 서귀포시,4,872067
제주특별자치도 제주시,4,1149037
부산광역시 강서구,5,911352
부산광역시 금정구,5,689544
부산광역시 기장군,5,755554
부산광역시 남구,5,649791
부산광역시 동구,5,532155
부산광역시 동래구,5,862752
부산광역시 부산광역시진구,5,1484495
부산광역시 북구,5,420075
부산광역시 사상구,5,716426
부산광역시 사하구,5,497872
부산광역시 서구,5,419621
부산광역시 수영구,5,721910
부산광역시 연제구,5,762204
부산광역시 영도구,5,269920
부산광역시 중구,5,612716
부산광역시 해운대구광역시,5,1224937
대구광역시 남구,5,538678
대구광역시 달서구,5,1269792
대구광역시 달성군,5,680037
대구광역시 동구,5,1081235
대구광역시 북구,5,1039760
대구광역시 서구,5,534363
대구광역시 수성구,5,1091610
대구광역시 군위군,5,0
대구광역시 중구,5,1238039
광주광역시 광산구,5,991349
광주광역시 남구,5,480420
광주광역시 동구,5,770503
광주광역시 북구,5,966939
광주광역시 서구,5,1087948
대전광역시 대덕구,5,508883
대전광역시 동구,5,701187
대전광역시 서구,5,1166558
대전광역시 유성구,5,1185326
대전광역시 중구,5,784023
울산광역시 남구,5,1111852
울산광역시 동구,5,297617
울산광역시 북구,5,619257
울산광역시 울주군,5,745467
울산광역시 중구,5,455741
세종특별자치시,5,584585
강원특별자치도 강릉시,5,554688
강원특별자치도 고성군,5,183257
강원특별자치도 동해시,5,173075
강원특별자치도 삼척시,5,204663
강원특별자치도 속초시,5,401921
강원특별자치도 양구군,5,45888
강원특별자치도 양양군,5,219374
강원특별자치도 영월군,5,127907
강원특별자치도 원주시,5,498387
강원특별자치도 인제군,5,126545
강원특별자치도 정선군,5,159437
강원특별자치도 철원군,5,114572
강원특별자치도 춘천시,5,510738
강원특별자치도 태백시,5,69191
강원특별자치도 평창군,5,205632
강원특별자치도 홍천군,5,262237
강원특별자치도 화천군,5,60885
강원특별자치도 횡성군,5,186258
충청북도 괴산군,5,158593
충청북도 단양군,5,150693
충청북도 보은군,5,105924
충청북도 영동군,5,99769
충청북도 옥천군,5,173388
충청북도 음성군,5,317368
충청북도 제천시,5,289373
충청북도 증평군,5,92801
충청북도 진천군,5,260404
충청북도 청주시 상당구,5,554931
충청북도 청주시 서원구,5,555598
충청북도 청주시 청원구,5,558118
충청북도 청주시 흥덕구,5,872751
충청북도 충주시,5,357594
충청남도 계룡시,5,87898
충청남도 공주시,5,431684
충청남도 금산군,5,193394
충청남도 논산시,5,277370
충청남도 당진시,5,386035
충청남도 보령시,5,281567
충청남도 부여군,5,158275
충청남도 서산시,5,300980
충청남도 서천군,5,166304
충청남도 아산시,5,795464
충청남도 예산군,5,265245
충청남도 천안시 동남구,5,808784
충청남도 천안시 서북구,5,942902
충청남도 청양군,5,84440
충청남도 태안군,5,305546
충청남도 홍성군,5,193025
전북특별자치도 고창군,5,149570
전북특별자치도 군산시,5,426333
전북특별자치도 김제시,5,236858
전북특별자치도 남원시,5,199384
전북특별자치도 무주군,5,83250
전북특별자치도 부안군,5,178469
전북특별자치도 순창군,5,75362
전북특별자치도 완주군,5,450966
전북특별자치도 익산시,5,420276
전북특별자치도 임실군,5,120129
전북특별자치도 장수군,5,46999
전북특별자치도 전주시 덕진구,5,836865
전북특별자치도 전주시 완산구,5,805456
전북특별자치도 정읍시,5,188735
전북특별자치도 진안군,5,87680
전라남도 강진군,5,93393
전라남도 고흥군,5,131156
전라남도 곡성군,5,151468
전라남도 광양시,5,289332
전라남도 구례군,5,98540
전라남도 나주시,5,307562
전라남도 담양군,5,277136
전라남도 목포시,5,443457
전라남도 무안군,5,297876
전라남도 보성군,5,130866
전라남도 순천시,5,549415
전라남도 신안군,5,120942
전라남도 여수시,5,575819
전라남도 영광군,5,120940
전라남도 영암군,5,192370
전라남도 완도군,5,92488
전라남도 장성군,5,179586
전라남도 장흥군,5,73281
전라남도 진도군,5,75829
전라남도 함평군,5,123929
전라남도 해남군,5,144891
전라남도 화순군,5,200090
경상북도 경산시,5,672645
경상북도 경주시,5,910744
경상북도 고령군,5,124568
경상북도 구미시,5,546512
경상북도 김천시,5,275763
경상북도 문경시,5,201439
경상북도 봉화군,5,80581
경상북도 상주시,5,211602
경상북도 성주군,5,175574
경상북도 안동시,5,280907
경상북도 영덕군,5,132194
경상북도 영양군,5,32189
경상북도 영주시,5,159816
경상북도 영천시,5,282397
경상북도 예천군,5,122842
경상북도 울릉군,5,48321
경상북도 울진군,5,128755
경상북도 의성군,5,120915
경상북도 청도군,5,203074
경상북도 청송군,5,67648
경상북도 칠곡군,5,423811
경상북도 포항시 남구,5,687173
