일시,지역명,방문자수
11,경상남도 진주시,7072357
11,경상남도 통영시,3537083
11,경상남도 사천시,2957151
11,경상남도 김해시,12320326
11,경상남도 밀양시,3188337
11,경상남도 거제시,8678246
11,경상남도 양산시,8823493
11,경상남도 의령군,852740
11,경상남도 함안군,2017439
11,경상남도 창녕군,1744891
11,경상남도 고성군,1615071
11,경상남도 남해군,1360953
11,경상남도 하동군,1129590
11,경상남도 산청군,1054613
11,경상남도 함양군,1242699
11,경상남도 거창군,1644060
11,경상남도 합천군,1212115
12,경상남도 창원시 의창구,6229230
12,경상남도 창원시 성산구,7328429
12,경상남도 창원시 마산합포구,5300386
12,경상남도 창원시 마산회원구,4454859
12,경상남도 창원시 진해구,4035662
12,경상남도 진주시,6994377
12,경상남도 통영시,3513067
12,경상남도 사천시,2875621
12,경상남도 김해시,12209736
12,경상남도 밀양시,2951462
12,경상남도 거제시,8783672
12,경상남도 양산시,8664920
12,경상남도 의령군,769660
12,경상남도 함안군,1752667
12,경상남도 창녕군,1640632
12,경상남도 고성군,1524082
12,경상남도 남해군,1324624
12,경상남도 하동군,960802
12,경상남도 산청군,905582
12,경상남도 함양군,1057771
12,경상남도 거창군,1539091
12,경상남도 합천군,1071261
01,경상북도 포항시 남구,6649341
01,경상북도 포항시 북구,7959292
01,경상북도 경주시,9008556
01,경상북도 김천시,3407871
01,경상북도 안동시,5087902
01,경상북도 구미시,8586073
01,경상북도 영주시,2876123
01,경상북도 영천시,2662944
01,경상북도 상주시,2932176
01,경상북도 문경시,1946995
01,경상북도 경산시,7447024
01,경상북도 의성군,1432079
01,경상북도 청송군,895795
01,경상북도 영양군,382293
01,경상북도 영덕군,1676189
01,경상북도 청도군,1554870
01,경상북도 고령군,925203
01,경상북도 성주군,1376034
01,경상북도 칠곡군,3228911
01,경상북도 예천군,1593780
01,경상북도 봉화군,745026
01,경상북도 울진군,1711689
01,경상북도 울릉군,215492
02,경상북도 포항시 남구,6020774
02,경상북도 포항시 북구,7147752
02,경상북도 경주시,8293409
02,경상북도 김천시,3058822
02,경상북도 안동시,4541121
02,경상북도 구미시,7860530
02,경상북도 영주시,2507780
02,경상북도 영천시,2348954
02,경상북도 상주시,2572199
02,경상북도 문경시,1668125
02,경상북도 경산시,6908675
02,경상북도 의성군,1223508
02,경상북도 청송군,748919
02,경상북도 영양군,331609
02,경상북도 영덕군,1519598
02,경상북도 청도군,1479777
02,경상북도 고령군,861455
02,경상북도 성주군,1245690
02,경상북도 칠곡군,2931320
02,경상북도 예천군,1380832
02,경상북도 봉화군,622122
02,경상북도 울진군,1537686
02,경상북도 울릉군,222362
03,경상북도 포항시 남구,6778942
03,경상북도 포항시 북구,8127365
03,경상북도 경주시,9576610
03,경상북도 김천시,3661258
03,경상북도 안동시,5365184
03,경상북도 구미시,9086371
03,경상북도 영주시,2969386
03,경상북도 영천시,2688080
03,경상북도 상주시,2955023
03,경상북도 문경시,1954701
03,경상북도 경산시,8739139
03,경상북도 의성군,1516813
03,경상북도 청송군,873780
03,경상북도 영양군,407604
03,경상북도 영덕군,1577952
03,경상북도 청도군,1625549
03,경상북도 고령군,1012815
03,경상북도 성주군,1427288
03,경상북도 칠곡군,3401199
03,경상북도 예천군,1619714
03,경상북도 봉화군,747199
03,경상북도 울진군,1721433
03,경상북도 울릉군,334096
04,경상북도 포항시 남구,6433399
04,경상북도 포항시 북구,7642492
04,경상북도 경주시,9409133
04,경상북도 김천시,3562081
04,경상북도 안동시,5009312
04,경상북도 구미시,8471610
04,경상북도 영주시,2815644
04,경상북도 영천시,2596203
04,경상북도 상주시,2873219
04,경상북도 문경시,1998748
04,경상북도 경산시,7404708
04,경상북도 의성군,1458560
04,경상북도 청송군,880372
04,경상북도 영양군,401497
04,경상북도 영덕군,1595624
04,경상북도 청도군,1547766
04,경상북도 고령군,1038108
04,경상북도 성주군,1424783
04,경상북도 칠곡군,3330057
04,경상북도 예천군,1590471
04,경상북도 봉화군,755939
04,경상북도 울진군,1711762
04,경상북도 울릉군,393952
05,경상북도 포항시 남구,7014982
05,경상북도 포항시 북구,8321118
05,경상북도 경주시,9749753
05,경상북도 김천시,3775205
05,경상북도 안동시,5467818
05,경상북도 구미시,9086865
05,경상북도 영주시,3116249
05,경상북도 영천시,2873623
05,경상북도 상주시,3146075
05,경상북도 문경시,2255292
05,경상북도 경산시,8435618
05,경상북도 의성군,1620125
05,경상북도 청송군,961792
05,경상북도 영양군,480751
05,경상북도 영덕군,1679927
05,경상북도 청도군,1591570
05,경상북도 고령군,1070016
05,경상북도 성주군,1557156
05,경상북도 칠곡군,3581741
05,경상북도 예천군,1737966
05,경상북도 봉화군,852159
05,경상북도 울진군,1792780
05,경상북도 울릉군,502162
06,경상북도 포항시 남구,6424571
06,경상북도 포항시 북구,7752709
06,경상북도 경주시,9078841
06,경상북도 김천시,3371530
06,경상북도 안동시,4932602
06,경상북도 구미시,8302409
06,경상북도 영주시,2579326
06,경상북도 영천시,2598506
06,경상북도 상주시,2860916
06,경상북도 문경시,2044517
06,경상북도 경산시,6659399
06,경상북도 의성군,1513090
06,경상북도 청송군,887896
06,경상북도 영양군,382369
06,경상북도 영덕군,1639975
06,경상북도 청도군,1517496
06,경상북도 고령군,987263
06,경상북도 성주군,1391512
06,경상북도 칠곡군,3194858
06,경상북도 예천군,1552372
06,경상북도 봉화군,726170
06,경상북도 울진군,1667510
06,경상북도 울릉군,448068
07,경상북도 포항시 남구,6530043
07,경상북도 포항시 북구,7956380
07,경상북도 경주시,9385101
07,경상북도 김천시,3370085
07,경상북도 안동시,4928612
07,경상북도 구미시,8314374
07,경상북도 영주시,2597004
07,경상북도 영천시,2560590
07,경상북도 상주시,2837295
07,경상북도 문경시,2073905
07,경상북도 경산시,6574364
07,경상북도 의성군,1477599
07,경상북도 청송군,921590
07,경상북도 영양군,394790
07,경상북도 영덕군,1783753
07,경상북도 청도군,1540240
07,경상북도 고령군,961090
07,경상북도 성주군,1404469
07,경상북도 칠곡군,3250916
07,경상북도 예천군,1565206
07,경상북도 봉화군,754748
07,경상북도 울진군,1716625
07,경상북도 울릉군,367534
08,경상북도 포항시 남구,6558287
08,경상북도 포항시 북구,8150965
08,경상북도 경주시,9867567
08,경상북도 김천시,3396534
08,경상북도 안동시,5057024
08,경상북도 구미시,8288732
08,경상북도 영주시,2568624
08,경상북도 영천시,2572244
08,경상북도 상주시,2929291
08,경상북도 문경시,2177266
08,경상북도 경산시,6628407
08,경상북도 의성군,1494108
08,경상북도 청송군,982319
08,경상북도 영양군,431588
08,경상북도 영덕군,1948709
08,경상북도 청도군,1616864
08,경상북도 고령군,929446
08,경상북도 성주군,1428617
08,경상북도 칠곡군,3323391
08,경상북도 예천군,1535186
08,경상북도 봉화군,802462
08,경상북도 울진군,1908341
08,경상북도 울릉군,393742
09,경상북도 포항시 남구,6445185
09,경상북도 포항시 북구,7938556
09,경상북도 경주시,9459838
09,경상북도 김천시,3569729
09,경상북도 안동시,5340205
09,경상북도 구미시,8554297
09,경상북도 영주시,2817796
09,경상북도 영천시,2911734
09,경상북도 상주시,3172397
09,경상북도 문경시,2327076
09,경상북도 경산시,7098801
09,경상북도 의성군,1652820
09,경상북도 청송군,970559
09,경상북도 영양군,446986
09,경상북도 영덕군,1675391
09,경상북도 청도군,1525116
09,경상북도 고령군,1029320
09,경상북도 성주군,1485812
09,경상북도 칠곡군,3523322
09,경상북도 예천군,1687869
09,경상북도 봉화군,857267
09,경상북도 울진군,1753850
09,경상북도 울릉군,366958
10,경상북도 포항시 남구,6607704
10,경상북도 포항시 북구,8093193
10,경상북도 경주시,10027635
10,경상북도 김천시,3591771
10,경상북도 안동시,5393850
10,경상북도 구미시,8911320
10,경상북도 영주시,3120682
10,경상북도 영천시,2832536
10,경상북도 상주시,3154576
10,경상북도 문경시,2287666
10,경상북도 경산시,6733308
10,경상북도 의성군,1530810
10,경상북도 청송군,1102768
10,경상북도 영양군,427970
10,경상북도 영덕군,1747890
10,경상북도 청도군,1686448
10,경상북도 고령군,1043519
10,경상북도 성주군,1418822
10,경상북도 칠곡군,3684086
10,경상북도 예천군,1647103
10,경상북도 봉화군,859290
10,경상북도 울진군,1843168
10,경상북도 울릉군,446831
11,경상북도 포항시 남구,6282084
11,경상북도 포항시 북구,7616803
11,경상북도 경주시,9086902
11,경상북도 김천시,3391438
11,경상북도 안동시,5025565
11,경상북도 구미시,8594640
11,경상북도 영주시,2896554
11,경상북도 영천시,2511080
11,경상북도 상주시,2847854
11,경상북도 문경시,1952018
11,경상북도 경산시,6688182
11,경상북도 의성군,1417497
11,경상북도 청송군,1016585
11,경상북도 영양군,390592
11,경상북도 영덕군,1484124
11,경상북도 청도군,1375405
11,경상북도 고령군,937022
11,경상북도 성주군,1291394
11,경상북도 칠곡군,3296148
11,경상북도 예천군,1537563
11,경상북도 봉화군,746499
11,경상북도 울진군,1596473
11,경상북도 울릉군,301965
12,경상북도 포항시 남구,6367852
12,경상북도 포항시 북구,7802691
12,경상북도 경주시,8927220
12,경상북도 김천시,3288261
12,경상북도 안동시,4902020
12,경상북도 구미시,8588561
12,경상북도 영주시,2806389
12,경상북도 영천시,2428024
12,경상북도 상주시,2744199
12,경상북도 문경시,1752349
12,경상북도 경산시,6374835
12,경상북도 의성군,1294671
12,경상북도 청송군,795674
12,경상북도 영양군,334087
12,경상북도 영덕군,1600716
12,경상북도 청도군,1329581
12,경상북도 고령군,893707
12,경상북도 성주군,1283407
12,경상북도 칠곡군,3135478
12,경상북도 예천군,1462460
12,경상북도 봉화군,647528
12,경상북도 울진군,1641905
12,경상북도 울릉군,246295
01,광주광역시 동구,4855860
01,광주광역시 서구,9437965
01,광주광역시 남구,4879526
01,광주광역시 북구,11447321
01,광주광역시 광산구,10909247
02,광주광역시 동구,4450535
02,광주광역시 서구,8613324
02,광주광역시 남구,4353937
02,광주광역시 북구,10312286
02,광주광역시 광산구,9958545
03,광주광역시 동구,5418575
03,광주광역시 서구,9979368
03,광주광역시 남구,5172127
03,광주광역시 북구,12373409
03,광주광역시 광산구,11666877
04,광주광역시 동구,4685004
04,광주광역시 서구,9310797
04,광주광역시 남구,4596844
04,광주광역시 북구,11157517
04,광주광역시 광산구,10694435
05,광주광역시 동구,5450294
05,광주광역시 서구,10155292
05,광주광역시 남구,4967841
05,광주광역시 북구,12233085
05,광주광역시 광산구,11623886
06,광주광역시 동구,5022742
06,광주광역시 서구,9357575
06,광주광역시 남구,3662041
06,광주광역시 북구,10844654
06,광주광역시 광산구,10234382
07,광주광역시 동구,4984382
07,광주광역시 서구,9492643
07,광주광역시 남구,3690355
07,광주광역시 북구,10863414
07,광주광역시 광산구,10408893
08,광주광역시 동구,4924616
08,광주광역시 서구,9327381
08,광주광역시 남구,3614827
08,광주광역시 북구,10755353
08,광주광역시 광산구,10268356
09,광주광역시 동구,4899261
09,광주광역시 서구,9199408
09,광주광역시 남구,3633617
09,광주광역시 북구,10871575
09,광주광역시 광산구,10265880
10,광주광역시 동구,5262858
10,광주광역시 서구,9723186
10,광주광역시 남구,3729473
10,광주광역시 북구,11187798
10,광주광역시 광산구,10970617
11,광주광역시 동구,4879634
11,광주광역시 서구,9211282
11,광주광역시 남구,3592942
11,광주광역시 북구,10620482
11,광주광역시 광산구,10700940
12,광주광역시 동구,5040024
12,광주광역시 서구,9583711
12,광주광역시 남구,3690599
12,광주광역시 북구,10831543
12,광주광역시 광산구,10926938
01,대구광역시 중구,7263611
01,대구광역시 동구,10771115
01,대구광역시 서구,3716461
01,대구광역시 남구,4537484
01,대구광역시 북구,12187761
01,대구광역시 수성구,11761320
01,대구광역시 달서구,14150287
01,대구광역시 달성군,6247834
01,대구광역시 군위군,873532
02,대구광역시 중구,7018067
02,대구광역시 동구,9886819
02,대구광역시 서구,3374783
02,대구광역시 남구,4234217
02,대구광역시 북구,11170363
02,대구광역시 수성구,10695427
02,대구광역시 달서구,13011933
02,대구광역시 달성군,5878694
02,대구광역시 군위군,757899
03,대구광역시 중구,7802072
03,대구광역시 동구,11212349
03,대구광역시 서구,3881192
03,대구광역시 남구,4991589
03,대구광역시 북구,13081526
03,대구광역시 수성구,12202479
03,대구광역시 달서구,15216906
03,대구광역시 달성군,6897769
03,대구광역시 군위군,897294
04,대구광역시 중구,7282549
04,대구광역시 동구,10644882
04,대구광역시 서구,3601458
04,대구광역시 남구,4491215
04,대구광역시 북구,11887432
04,대구광역시 수성구,11503846
04,대구광역시 달서구,13792150
04,대구광역시 달성군,6647218
04,대구광역시 군위군,961817
05,대구광역시 중구,7774165
05,대구광역시 동구,11221685
05,대구광역시 서구,3833368
05,대구광역시 남구,4823344
05,대구광역시 북구,12708258
05,대구광역시 수성구,12167782
