일시,방문자 수,지역명
2,6150600.0,서울특별시 도봉구
2,13300000.0,서울특별시 노원구
2,7923782.0,서울특별시 은평구
2,11000000.0,서울특별시 서대문구
2,16600000.0,서울특별시 마포구
2,7610051.0,서울특별시 양천구
2,10100000.0,서울특별시 구로구
2,4570956.0,서울특별시 금천구
2,15700000.0,서울특별시 영등포구
2,9017060.0,서울특별시 동작구
2,10400000.0,서울특별시 관악구
2,20800000.0,서울특별시 서초구
2,30200000.0,서울특별시 강남구
2,20900000.0,서울특별시 송파구
2,10600000.0,서울특별시 강동구
2,15400000.0,서울특별시 중구
2,8089221.0,세종특별자치시 세종특별자치시
2,8923630.0,울산광역시 남구
2,3398512.0,울산광역시 동구
2,5011494.0,울산광역시 북구
2,6255612.0,울산광역시 울주군
2,4727946.0,울산광역시 중구
2,1391144.0,인천광역시 동구
2,9012004.0,인천광역시 미추홀구
2,10100000.0,인천광역시 연수구
2,10600000.0,인천광역시 남동구
2,10400000.0,인천광역시 부평구
2,5801852.0,인천광역시 계양구
2,2748713.0,인천광역시 강화군
2,660285.0,인천광역시 옹진군
2,13900000.0,인천광역시 서구
2,12200000.0,인천광역시 중구
2,7322754.0,전라남도 목포시
2,6606792.0,전라남도 여수시
2,6893528.0,전라남도 순천시
2,3316956.0,전라남도 나주시
2,3234310.0,전라남도 광양시
2,1982401.0,전라남도 담양군
2,756269.0,전라남도 곡성군
2,818267.0,전라남도 구례군
2,1348617.0,전라남도 고흥군
2,1118231.0,전라남도 보성군
2,2109391.0,전라남도 화순군
2,1151996.0,전라남도 장흥군
2,1091904.0,전라남도 강진군
2,1674427.0,전라남도 해남군
2,1661764.0,전라남도 영암군
2,2662824.0,전라남도 무안군
2,772767.0,전라남도 함평군
2,1498871.0,전라남도 영광군
2,1362085.0,전라남도 장성군
2,1442210.0,전라남도 완도군
2,923092.0,전라남도 진도군
2,1010725.0,전라남도 신안군
2,9022374.0,전북특별자치도 전주시 완산구
2,7995357.0,전북특별자치도 전주시 덕진구
2,7585792.0,전북특별자치도 군산시
2,7461913.0,전북특별자치도 익산시
2,2663005.0,전북특별자치도 정읍시
2,2272725.0,전북특별자치도 남원시
2,2134471.0,전북특별자치도 김제시
2,2778106.0,전북특별자치도 완주군
2,593799.0,전북특별자치도 진안군
2,1183068.0,전북특별자치도 무주군
2,494528.0,전북특별자치도 장수군
2,969432.0,전북특별자치도 임실군
2,651396.0,전북특별자치도 순창군
2,1544330.0,전북특별자치도 고창군
2,1658401.0,전북특별자치도 부안군
2,17600000.0,제주특별자치도 제주시
2,7540140.0,제주특별자치도 서귀포시
2,3142577.0,충청남도 공주시
2,3434658.0,충청남도 보령시
2,7973334.0,충청남도 아산시
2,4294257.0,충청남도 서산시
2,3305468.0,충청남도 논산시
2,1078713.0,충청남도 계룡시
2,5026438.0,충청남도 당진시
2,1788006.0,충청남도 금산군
2,2183678.0,충청남도 부여군
2,1839003.0,충청남도 서천군
2,802646.0,충청남도 청양군
2,2587849.0,충청남도 홍성군
2,2614408.0,충청남도 예산군
2,2488974.0,충청남도 태안군
2,7142863.0,충청남도 천안시 동남구
2,6388883.0,충청남도 천안시 서북구
2,7051213.0,충청북도 충주시
2,2955619.0,충청북도 제천시
2,1050446.0,충청북도 보은군
2,1829315.0,충청북도 옥천군
2,1372189.0,충청북도 영동군
2,1228648.0,충청북도 증평군
2,2117320.0,충청북도 진천군
2,1317323.0,충청북도 괴산군
2,2949190.0,충청북도 음성군
2,1178222.0,충청북도 단양군
2,5003528.0,충청북도 청주시 상당구
2,4149415.0,충청북도 청주시 서원구
2,6374138.0,충청북도 청주시 흥덕구
2,4608278.0,충청북도 청주시 청원구
3,1501965.0,강원특별자치도 고성군
3,9931063.0,강원특별자치도 춘천시
3,10800000.0,강원특별자치도 원주시
3,8425384.0,강원특별자치도 강릉시
3,3047065.0,강원특별자치도 동해시
3,1432034.0,강원특별자치도 태백시
3,3933772.0,강원특별자치도 속초시
3,2396313.0,강원특별자치도 삼척시
3,2378499.0,강원특별자치도 홍천군
3,1572797.0,강원특별자치도 횡성군
3,1086594.0,강원특별자치도 영월군
3,1957107.0,강원특별자치도 평창군
3,1402881.0,강원특별자치도 정선군
3,1300559.0,강원특별자치도 철원군
3,799713.0,강원특별자치도 화천군
3,757168.0,강원특별자치도 양구군
3,1220962.0,강원특별자치도 인제군
3,1861532.0,강원특별자치도 양양군
3,12800000.0,경기도 고양시 덕양구
3,10200000.0,경기도 고양시 일산동구
3,7917179.0,경기도 고양시 일산서구
3,7764679.0,경기도 성남시 수정구
3,4760530.0,경기도 성남시 중원구
3,19100000.0,경기도 성남시 분당구
3,8790910.0,경기도 수원시 장안구
3,8532613.0,경기도 수원시 권선구
3,10000000.0,경기도 수원시 팔달구
3,11400000.0,경기도 수원시 영통구
3,6108644.0,경기도 안산시 상록구
3,11400000.0,경기도 의정부시
3,10600000.0,경기도 안산시 단원구
3,6135155.0,경기도 안양시 만안구
3,0.0,경기도 부천시
3,7379062.0,경기도 광명시
3,14300000.0,경기도 평택시
3,2430611.0,경기도 동두천시
3,8628524.0,경기도 안양시 동안구
